"","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021"
"150","111035A","111035","1167",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
"151","111066A","111066","1168",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA
"152","111115A","111115","1158",NA,NA,"ASTR","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA
"153","111129A","111129","1159",NA,NA,"ASTR","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA
"154","111156A","111156","1159",NA,NA,"ASTR","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA
"155","111158A","111158","1159",NA,NA,"ASTR","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA
"156","111345A","111345","1191",NA,NA,"LIST2","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,24.5,NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA,NA
"157","111587A","111587","1196",NA,NA,"PATO2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA
"158","111590A","111590","1196",NA,NA,"FAGR","standing dead",NA,NA,"1",NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","111595A","111595","1196",NA,NA,"CACA18","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA
"160","111620A","111620","1187",NA,NA,"COFL2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA
"161","111628A","111628","1187",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA
"162","111727A","111727","1197",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,13.2,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA
"163","11207A","11207","196",NA,NA,"UNKN","standing dead",NA,NA,"3",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","112141A","112141","111010",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,8,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA
"165","112141B","112141","111010",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA
"166","42186A","42186","1218",NA,NA,"LITU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,22.7,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA
"167","42226A","42226","1243",NA,NA,"CACA18","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","42346A","42346","1223",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA
"169","42365A","42365","1225",NA,NA,"VIPR","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA
"170","42426A","42426","1241",NA,NA,"COFL2","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","42439A","42439","1243",0.3,0.2,"UNKN","standing broken","NF","Log","3",NA,4,NA,NA,NA,15.8,15.1,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA
"172","42528A","42528","12210",3.1,2.6,"CATO6","lying broken","Log","Log","2","2",4,NA,NA,NA,28,28.1,NA,NA,NA,NA,19,NA,NA,NA,NA,NA
"173","42528B","42528","12410",NA,NA,"CATO6","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA
"174","42549C","42549","1261",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA
"175","42549B","42549","1261",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA
"176","42549A","42549","1261",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,5,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA
"177","42637A","42637","1251",NA,NA,"CACA18","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA
"178","42643A","42643","1251",NA,NA,"CACA18","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA
"179","42646A","42646","1251",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","42706A","42706","1247",5.3,4.7,"LITU","standing broken","Log","Log","2","4",5,NA,NA,NA,46.5,46.3,NA,NA,NA,NA,NA,14,NA,16,NA,NA
"181","42802A","42802","1256",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","42835A","42835","1258",9.7,5,"CATO6","standing broken","Snag","Log","3","2",4,19.7,NA,NA,24.8,23.6,20,NA,NA,NA,NA,NA,NA,1.9,1.5,NA
"183","42835B","42835","1268",NA,NA,"CATO6","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,19.7,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA
"184","42835C","42835","1267",NA,NA,"CATO6","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,18.2,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA
"185","42841A","42841","1269",NA,NA,"UNKN","standing dead",NA,NA,"3",NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","42929A","42929","1268",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA
"187","43045A","43045","1274",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"188","43110A","43110","1282",NA,NA,"COFL2","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA
"189","43159A","43159","1286",NA,NA,"LITU","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA
"190","43159B","43159","1286",NA,NA,"LITU","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA
"191","43218A","43218","1291",NA,NA,"CACA18","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA
"192","43223A","43223","1291",NA,NA,"CACA18","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","43231A","43231","1291",NA,NA,"UNKN","standing broken",NA,NA,"3",NA,NA,30.4,NA,NA,46.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"194","43231B","43231","12101",NA,NA,"UNKN","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,30.4,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"195","43404A","43404","1296",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA
"196","43405A","43405","1296",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA
"197","43427A","43427","1299",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA
"198","43741A","43741","121010",7.5,1.9,"LIST2","standing broken","Snag","Log","3","3",3,24.2,NA,NA,37,36.5,36.3,36.3,NA,NA,NA,NA,NA,12,10,NA
"199","43741B","43741","121010",NA,NA,"LIST2","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,24.2,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA
"200","130003A","130003","1331",9,0.4,"LIST2","standing dead","Log","Log","2","4",5,NA,NA,NA,13.2,13,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"201","130296A","130296","1338",7.5,5.2,"FAGR","standing dead","Snag",NA,"2",NA,NA,NA,NA,NA,11.3,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","130297A","130297","1338",NA,NA,"FAGR","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","130423A","130423","1321",NA,NA,"LIST2","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,NA
"204","130429A","130429","1321",3.3,7.3,"LIST2","standing dead","Stump",NA,"2",NA,NA,NA,NA,NA,16.4,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","130445B","130445","1321",NA,NA,"LIST2","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,12.7,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
"206","130445A","130445","1321",0.8,8.3,"LIST2","standing broken","Snag","Snag","3","4",4,12.7,NA,NA,15,14.6,NA,11.4,NA,NA,NA,NA,NA,1.7,1.5,1
"207","130528B","130528","1349",NA,NA,"QURU","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,21.6,NA,NA,NA,NA,NA
"208","130528A","130528","1349",NA,NA,"QURU","standing broken",NA,NA,"1",NA,NA,45,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA
"209","130551A","130551","1346",2.3,2.2,"QURU","standing dead","Snag","Log","3","4",3,NA,NA,35.4,45.7,46.6,45.8,45.4,NA,43.6,NA,NA,5,NA,10,NA
"210","130551A","130551","1346",2.3,2.2,"QURU","standing dead",NA,"Log","3",NA,3,NA,NA,34.8,45.7,NA,NA,45.4,NA,35.5,NA,NA,3.5,NA,NA,NA
"211","130559A","130559","1346",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA
"212","130560A","130560","1346",NA,NA,"QURU","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA
"213","130560B","130560","1336",NA,NA,"QURU","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,31.5,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA
"214","130560A","130560","1346",NA,NA,"QURU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,46.1,NA,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA
"215","130560C","130560","1337",NA,NA,"QURU","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,31.1,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA
"216","130567A","130567","1346",NA,NA,"LIST2","standing dead",NA,NA,"1",NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","130655A","130655","1361",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","130660A","130660","1361",NA,NA,"LIBE3","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","130766A","130766","1335",NA,NA,"VIPR","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA
"220","130792A","130792","1341",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","130807A","130807","1341",NA,NA,"LIST2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA
"222","130889A","130889","13110",NA,NA,"ULAM","standing dead",NA,NA,"3",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","130907A","130907","1311",NA,NA,"LIST2","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA
"224","130960A","130960","1351",NA,NA,"AIAL","standing dead",NA,NA,"1",NA,NA,NA,NA,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","131049A","131049","1365",NA,NA,"LIBE3","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA
"226","131134A","131134","1362",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","131157A","131157","1362",NA,NA,"LIBE3","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA
"228","131285A","131285","1356",NA,NA,"QUVE","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,47.3,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA
"229","131291A","131291","1357",0.6,8.5,"CAGL8","standing dead","Log","Log","2","3",4,NA,NA,NA,30.3,32.9,NA,NA,NA,NA,NA,13,NA,NA,NA,NA
"230","131292A","131292","1357",NA,NA,"CAGL8","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","131306A","131306","1359",NA,NA,"UNKN","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,28.8,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA
"232","131307A","131307","1359",NA,NA,"QURU","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,46.8,NA,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA
"233","131333B","131333","13510",NA,NA,"LIST2","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
"234","131333A","131333","13510",5.2,7.9,"LIST2","standing broken","Log","Log","3","4",5,30.2,NA,NA,43.3,44.8,NA,NA,NA,NA,NA,9,NA,13.1,NA,NA
"235","131351A","131351","1371",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","131356A","131356","1371",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","131493A","131493","1381",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","131955A","131955","1375",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","131987A","131987","1376",NA,NA,"QUAL","standing broken",NA,NA,"2",NA,NA,12.7,NA,NA,25.2,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,NA
"240","131987B","131987","1375",NA,NA,"QUAL","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,12.7,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
"241","132001A","132001","1384",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","132289A","132289","13103",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","132472A","132472","13102",9.5,4.4,"LITU","standing broken","Snag","Log","1","4",4,NA,32.7,NA,36.4,37.2,33.3,33.9,NA,NA,NA,NA,NA,NA,3,NA
"244","132616A","132616","13107",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,47.5,NA,NA,NA,NA,NA,22.9,NA,NA,1.2,NA,NA
"245","132616A","132616","13107",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,39.6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"246","132630B","132630","13107",NA,NA,"ACRU","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,24.2,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA
"247","132630A","132630","13107",NA,NA,"ACRU","standing broken",NA,NA,"2",NA,NA,24.2,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA
"248","132633A","132633","13107",1.5,6.4,"PLOC","standing broken","Log","Log","2","4",2,NA,NA,NA,62.6,68.5,NA,NA,NA,NA,26.1,27,NA,NA,NA,NA
"249","132633A","132633","13107",1.5,6.4,"PLOC","standing broken","Log","Log","2","4",2,62.6,NA,NA,68.1,68.5,NA,NA,NA,NA,NA,27,NA,1.3,NA,NA
"250","132676A","132676","13105",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","132697A","132697","13105",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","132932A","132932","1395",NA,NA,"LIBE3","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA
"253","133028A","133028","13910",2.2,1.8,"PLOC","standing dead","Snag","Snag","2",NA,2,NA,NA,NA,28.8,29.7,28.3,28.6,NA,NA,NA,NA,NA,NA,16.6,NA
"254","133171A","133171","13103",NA,NA,"PLOC","standing cut",NA,NA,"3",NA,NA,54.8,NA,NA,139.8,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"255","133171B","133171","13103",NA,NA,"PLOC","standing cut",NA,NA,"3",NA,NA,NA,NA,NA,52.9,NA,NA,NA,NA,NA,20.2,NA,NA,NA,NA,NA
"256","133171B","133171","13103",NA,NA,"PLOC","standing cut",NA,NA,"3",NA,NA,NA,NA,NA,54.8,NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA,NA
"257","140101A","140101","1411",5.3,1.5,"PLOC","standing broken","Snag","Log","3","4",4,NA,35.5,21.3,27.7,36.5,37.8,NA,NA,23.4,13.3,NA,4,NA,2,NA
"258","140101A","140101","1411",5.3,1.5,"PLOC","standing broken","Snag","Log","3","4",4,27.7,35.5,21.3,36.4,36.5,37.8,NA,NA,23.4,NA,NA,4,3,2,NA
"259","140209A","140209","1431",2.3,6.1,"ULRU","standing dead","Snag","Log","2","3",3,NA,NA,17,25.2,24.6,23.9,NA,NA,21.8,NA,NA,7,NA,15,NA
"260","140212A","140212","1431",NA,NA,"FRPE","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA
"261","140243A","140243","1433",NA,NA,"FRPE","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA
"262","140355A","140355","1428",4,8.8,"ULRU","standing broken","Snag","Log","1","3",4,35.1,NA,34.9,49.3,49.2,47.5,NA,NA,41.3,NA,NA,2.5,5,3.5,NA
"263","140355B","140355","1428",NA,NA,"ULRU","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA
"264","140376A","140376","1429",NA,NA,"QUPA2","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA
"265","140534A","140534","1439",NA,NA,"LIBE3","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA
"266","140535A","140535","1439",NA,NA,"LIST2","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA
"267","140535B","140535","1439",NA,NA,"LIST2","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA
"268","140638D","140638","1448",NA,NA,"QUPA2","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA
"269","140638B","140638","1438",NA,NA,"QUPA2","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,44.5,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA
"270","140638A","140638","1438",7,9,"QUPA2","standing broken","Log","Log","3","4",5,44.5,NA,NA,59.1,60.1,NA,NA,NA,NA,NA,7,NA,11,NA,NA
"271","140638C","140638","1448",NA,NA,"QUPA2","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA
"272","140676A","140676","1419",2.7,7.1,"LIST2","standing broken","Stump",NA,"2",NA,NA,11.8,NA,NA,17.1,17.7,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA
"273","140676B","140676","1419",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,11.8,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA
"274","140738A","140738","1451",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","140824A","140824","14110",10,3.2,"ULRU","standing dead","Log","Log","2","3",4,NA,NA,NA,22,21.8,NA,NA,NA,NA,NA,14,NA,NA,NA,NA
"276","140835A","140835","14110",5.8,7.9,"QUPA2","standing broken","Snag","Log","3","4",4,NA,NA,57.4,49.3,76.1,74.2,72.9,NA,67.8,13,NA,11,NA,11,NA
"277","140835A","140835","1415",NA,NA,"QUPA2","standing broken",NA,NA,"3",NA,NA,49.3,NA,NA,75.9,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA
"278","140835A","140835","14110",5.8,7.9,"QUPA2","standing broken","Snag","Log","3","4",4,NA,NA,57.4,37.6,76.1,74.2,72.9,NA,67.8,14.7,NA,11,NA,11,NA
"279","140969A","140969","1448",NA,NA,"LIST2","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,28.2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
"280","141067A","141067","1453",NA,NA,"LIBE3","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA
"281","141098A","141098","1455",NA,NA,"LIST2","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,49.6,NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA
"282","141098C","141098","1465",NA,NA,"LIST2","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,37.1,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA
"283","141098B","141098","1465",NA,NA,"LIST2","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA
"284","141224A","141224","1455",NA,NA,"LIBE3","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
"285","141282A","141282","1455",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","141322A","141322","1459",1.2,4.5,"QUPA2","standing broken","Snag","Snag","1","3",3,NA,61.5,NA,NA,84.1,78.7,79.5,NA,NA,NA,NA,NA,NA,20.6,NA
"287","141484A","141484","1464",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","141521B","141521","1468",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,31.6,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA
"289","141521C","141521","1467",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,22.3,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA
"290","141521A","141521","1468",6.5,4,"LIST2","standing broken","Log","Log","2","4",2,31.6,NA,NA,41.5,41.6,NA,NA,NA,NA,NA,3,NA,4,NA,NA
"291","141641A","141641","1467",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","141692A","141692","1464",NA,NA,"LIBE3","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA
"293","141746A","141746","14610",NA,NA,"ULRU","standing dead",NA,NA,"1",NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","141817A","141817","1481",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","141818A","141818","1481",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","141913A","141913","1466",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","141979A","141979","1462",NA,NA,"FAGR","standing dead",NA,NA,"1",NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","142010A","142010","14103",NA,NA,"ACRU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA
"299","142038B","142038","14105",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA
